 ,Label,Area,Mean,Perim.,Circ.,AR,Round,Solidity
1,ER.png (red),5,255,14.142,0.314,2.915,0.343,0.500
2,ER.png (red),5,255,12.728,0.388,2.031,0.492,0.556
3,ER.png (red),11,255,20.142,0.341,2.745,0.364,0.647
4,ER.png (red),5,255,8.485,0.873,1.496,0.668,0.714
5,ER.png (red),6,255,13.899,0.390,2.140,0.467,0.500
6,ER.png (red),9,255,17.556,0.367,3.555,0.281,0.500
7,ER.png (red),5,255,8.485,0.873,1.496,0.668,0.714
8,ER.png (red),5,255,7.657,1.000,1.553,0.644,0.909
9,ER.png (red),5,255,12.728,0.388,3.028,0.330,0.588
10,ER.png (red),5,255,10.485,0.572,1.848,0.541,0.667
11,ER.png (red),8,255,16.142,0.386,2.449,0.408,0.571
12,ER.png (red),5,255,9.071,0.764,2.610,0.383,0.769
13,ER.png (red),5,255,9.899,0.641,1.848,0.541,0.667
14,ER.png (red),6,255,15.314,0.322,3.388,0.295,0.571
15,ER.png (red),5,255,9.899,0.641,1.871,0.534,0.714
16,ER.png (red),5,255,11.657,0.462,4.051,0.247,0.667
17,ER.png (red),5,255,11.314,0.491,2.024,0.494,0.588
18,ER.png (red),6,255,9.899,0.769,1.944,0.515,0.800
19,ER.png (red),6,255,9.071,0.916,1.593,0.628,0.857
20,ER.png (red),5,255,11.071,0.513,3.678,0.272,0.667
21,ER.png (red),6,255,14.728,0.348,1.757,0.569,0.522
22,ER.png (red),5,255,12.485,0.403,4.465,0.224,0.556
23,ER.png (red),6,255,11.314,0.589,2.393,0.418,0.667
24,ER.png (red),6,255,12.485,0.484,3.503,0.285,0.600
25,ER.png (red),9,255,19.899,0.286,4.790,0.209,0.486
26,ER.png (red),5,255,9.899,0.641,1.871,0.534,0.714
27,ER.png (red),5,255,13.314,0.354,2.645,0.378,0.556
28,ER.png (red),5,255,9.657,0.674,2.749,0.364,0.769
29,ER.png (red),5,255,10.485,0.572,1.064,0.940,0.667
30,ER.png (red),5,255,10.828,0.536,5.000,0.200,1.000
31,ER.png (red),5,255,9.657,0.674,2.610,0.383,0.769
32,ER.png (red),8,255,15.314,0.429,1.648,0.607,0.593
33,ER.png (red),7,255,14.142,0.440,1.688,0.592,0.538
